,Date,AC.MX,ALFAA.MX,ALSEA.MX,AMXL.MX,ASURB.MX,BBAJIOO.MX,BIMBOA.MX,BOLSAA.MX,CEMEXCPO.MX,CUERVO.MX,ELEKTRA.MX,FEMSAUBD.MX,GAPB.MX,GCARSOA1.MX,GCC.MX,GFINBURO.MX,GFNORTEO.MX,GMEXICOB.MX,GRUMAB.MX,KIMBERA.MX,KOFUBL.MX,LIVEPOLC-1.MX,MEGACPO.MX,OMAB.MX,ORBIA.MX,PE&OLES.MX,PINFRA.MX,Q.MX,TLEVISACPO.MX,VESTA.MX,WALMEX.MX
0,2021-01-29,93.06999969482422,12.899999618530273,23.110000610351562,13.670000076293945,322.5299987792969,24.760000228881836,38.52000045776367,46.0,11.760000228881836,43.72999954223633,1386.010009765625,139.6999969482422,206.60000610351562,51.59000015258789,130.4199981689453,18.280000686645508,101.56999969482422,87.83999633789062,225.05999755859375,35.810001373291016,88.91999816894531,65.51000213623047,74.12000274658203,120.98999786376953,44.18000030517578,306.75,154.05999755859375,107.72000122070312,30.989999771118164,38.650001525878906,58.349998474121094
1,2021-02-02,94.38999938964844,12.029999732971191,23.709999084472656,13.699999809265137,336.2900085449219,24.56999969482422,40.060001373291016,47.0,12.520000457763672,44.790000915527344,1394.1600341796875,138.57000732421875,212.1999969482422,52.29999923706055,128.35000610351562,19.010000228881836,103.30000305175781,91.44000244140625,230.00999450683594,36.02000045776367,90.68000030517578,64.94999694824219,77.77999877929688,122.02999877929688,46.16999816894531,330.1000061035156,155.17999267578125,109.25,32.150001525878906,38.56999969482422,59.56999969482422
2,2021-02-03,93.83000183105469,12.170000076293945,23.8799991607666,13.640000343322754,335.4599914550781,25.34000015258789,40.150001525878906,47.119998931884766,12.890000343322754,44.72999954223633,1394.72998046875,137.9199981689453,209.0,52.34000015258789,128.97999572753906,19.100000381469727,106.80999755859375,91.1500015258789,231.5,36.47999954223633,90.25,66.0999984741211,78.36000061035156,120.13999938964844,45.599998474121094,321.5899963378906,156.89999389648438,109.62999725341797,32.439998626708984,40.40999984741211,58.380001068115234
3,2021-02-04,96.63999938964844,12.350000381469727,24.040000915527344,13.970000267028809,335.80999755859375,25.34000015258789,39.9900016784668,46.65999984741211,13.010000228881836,44.65999984741211,1393.8800048828125,140.0500030517578,209.64999389648438,54.15999984741211,130.0399932861328,19.690000534057617,107.55999755859375,87.9000015258789,230.24000549316406,35.84000015258789,89.27999877929688,65.29000091552734,77.37000274658203,120.97000122070312,44.900001525878906,313.2900085449219,154.3800048828125,110.41999816894531,32.779998779296875,39.439998626708984,59.720001220703125
4,2021-02-05,94.7300033569336,12.359999656677246,23.770000457763672,13.6899995803833,342.739990234375,24.90999984741211,39.54999923706055,47.0,12.90999984741211,43.72999954223633,1390.4100341796875,139.89999389648438,211.82000732421875,53.72999954223633,128.83999633789062,19.469999313354492,109.69000244140625,87.47000122070312,232.52999877929688,35.060001373291016,90.30000305175781,65.22000122070312,78.62000274658203,122.29000091552734,43.5099983215332,315.239990234375,154.61000061035156,110.87999725341797,33.459999084472656,39.29999923706055,60.41999816894531
5,2021-02-08,93.0,12.0600004196167,23.3799991607666,13.640000343322754,348.95001220703125,24.559999465942383,39.4900016784668,47.02000045776367,12.869999885559082,43.599998474121094,1398.81005859375,138.52000427246094,211.9499969482422,51.84000015258789,128.14999389648438,19.100000381469727,110.05000305175781,89.98999786376953,230.0500030517578,35.220001220703125,89.3499984741211,65.91999816894531,78.69999694824219,122.80000305175781,43.810001373291016,310.70001220703125,152.8800048828125,110.77999877929688,33.900001525878906,39.2599983215332,60.650001525878906
6,2021-02-09,95.48999786376953,12.239999771118164,23.56999969482422,13.880000114440918,348.3900146484375,25.270000457763672,39.70000076293945,46.84000015258789,12.800000190734863,45.27000045776367,1393.5999755859375,141.02999877929688,209.75999450683594,53.43000030517578,128.42999267578125,19.920000076293945,114.5999984741211,93.16000366210938,234.10000610351562,36.81999969482422,90.33000183105469,67.97000122070312,78.37999725341797,121.91000366210938,44.5099983215332,314.17999267578125,155.57000732421875,111.27999877929688,34.560001373291016,38.75,62.380001068115234
7,2021-02-10,93.70999908447266,12.109999656677246,23.969999313354492,13.800000190734863,343.4200134277344,25.18000030517578,39.65999984741211,47.16999816894531,12.739999771118164,46.75,1387.6300048828125,141.2899932861328,209.17999267578125,54.18000030517578,126.11000061035156,19.899999618530273,112.51000213623047,91.94999694824219,230.22000122070312,36.18000030517578,90.08999633789062,68.44999694824219,77.83999633789062,121.87999725341797,44.599998474121094,313.4800109863281,154.14999389648438,113.33999633789062,35.02000045776367,38.90999984741211,61.33000183105469
8,2021-02-11,93.19999694824219,12.109999656677246,23.920000076293945,13.550000190734863,337.5,24.520000457763672,39.20000076293945,45.4900016784668,13.270000457763672,45.040000915527344,1384.8800048828125,137.42999267578125,203.1199951171875,52.189998626708984,127.97000122070312,19.270000457763672,109.54000091552734,89.97000122070312,230.02000427246094,34.869998931884766,88.48999786376953,67.19999694824219,76.02999877929688,120.62999725341797,43.81999969482422,304.989990234375,152.0800018310547,112.5999984741211,35.09000015258789,38.540000915527344,60.31999969482422
9,2021-02-12,93.0999984741211,12.0600004196167,24.34000015258789,13.850000381469727,339.45001220703125,24.65999984741211,39.15999984741211,46.5,13.270000457763672,45.95000076293945,1384.199951171875,138.8699951171875,202.72000122070312,52.45000076293945,129.24000549316406,19.6200008392334,109.83000183105469,88.19000244140625,231.3800048828125,35.540000915527344,89.51000213623047,65.83000183105469,76.08999633789062,120.05000305175781,43.599998474121094,304.67999267578125,153.35000610351562,112.29000091552734,33.95000076293945,38.040000915527344,60.83000183105469
10,2021-02-15,94.16999816894531,12.130000114440918,24.59000015258789,13.930000305175781,343.6600036621094,24.219999313354492,39.11000061035156,46.77000045776367,13.100000381469727,44.65999984741211,1388.9000244140625,137.1699981689453,200.33999633789062,53.13999938964844,130.07000732421875,19.920000076293945,107.98999786376953,89.44000244140625,230.2100067138672,35.20000076293945,88.05999755859375,65.94000244140625,76.05999755859375,118.91000366210938,43.61000061035156,306.19000244140625,153.9499969482422,113.23999786376953,33.5,37.95000076293945,61.4900016784668
11,2021-02-16,95.25,12.020000457763672,24.780000686645508,13.949999809265137,347.8999938964844,24.729999542236328,38.9900016784668,46.599998474121094,13.100000381469727,44.88999938964844,1391.1199951171875,143.36000061035156,205.5,52.959999084472656,128.6300048828125,19.530000686645508,107.75,92.5999984741211,230.27000427246094,34.91999816894531,91.08000183105469,66.20999908447266,75.8499984741211,121.2699966430664,44.939998626708984,307.3800048828125,158.4600067138672,113.98999786376953,34.869998931884766,37.86000061035156,61.97999954223633
12,2021-02-17,96.5,12.050000190734863,24.8799991607666,13.899999618530273,361.25,24.829999923706055,38.86000061035156,45.7400016784668,12.930000305175781,43.939998626708984,1389.18994140625,142.4600067138672,212.25999450683594,54.11000061035156,127.93000030517578,19.3700008392334,109.9800033569336,96.29000091552734,230.16000366210938,35.13999938964844,91.80999755859375,66.69000244140625,75.81999969482422,124.69000244140625,45.08000183105469,309.4599914550781,157.3699951171875,112.7699966430664,34.27000045776367,38.93000030517578,62.91999816894531
13,2021-02-18,96.2699966430664,11.859999656677246,24.520000457763672,13.770000457763672,353.3500061035156,24.719999313354492,38.33000183105469,45.31999969482422,12.40999984741211,42.90999984741211,1388.719970703125,142.97000122070312,210.6199951171875,52.189998626708984,128.27999877929688,19.059999465942383,108.9000015258789,97.9800033569336,229.91000366210938,34.880001068115234,93.11000061035156,66.5,74.12000274658203,121.04000091552734,44.93000030517578,301.7200012207031,157.66000366210938,111.02999877929688,33.04999923706055,38.95000076293945,60.150001525878906
14,2021-02-19,98.30000305175781,12.149999618530273,24.75,13.699999809265137,354.8599853515625,24.209999084472656,38.36000061035156,45.119998931884766,12.930000305175781,42.16999816894531,1387.9300537109375,143.99000549316406,207.57000732421875,51.31999969482422,126.44000244140625,19.010000228881836,106.02999877929688,101.93000030517578,229.97000122070312,34.79999923706055,92.44999694824219,66.2699966430664,75.48999786376953,121.94000244140625,45.06999969482422,304.0899963378906,156.58999633789062,112.0999984741211,32.84000015258789,39.119998931884766,62.220001220703125
15,2021-02-22,95.4800033569336,11.720000267028809,24.829999923706055,13.630000114440918,352.9100036621094,24.270000457763672,37.099998474121094,44.38999938964844,13.09000015258789,40.849998474121094,1379.22998046875,144.22999572753906,209.0,49.25,123.19000244140625,18.25,106.3499984741211,109.97000122070312,228.74000549316406,34.59000015258789,91.61000061035156,64.12000274658203,74.08000183105469,121.2300033569336,44.06999969482422,302.07000732421875,152.27000427246094,112.4800033569336,32.18000030517578,38.75,60.310001373291016
